ArrayTaskID	SampleID
1	Cen14_11102016_R1_S15
2	Cen14_02102018_R1_S17
3	Cen15_12102015_R1_S21
4	Cen15_11102016_R1_S22
5	Cen15_19102017_R1_S23
6	Cen19_12102015_R1_S42
7	Cen19_11102016_R1_S43
8	Cen19_19102017_R1_S44
9	Cen19_02102018_R1_S45
10	Cen21_12102015_R1_S49
11	Cen21_11102016_R1_S50
12	Cen21_19102017_R1_S51
13	Cen22_12102015_R1_S56
14	Cen22_11102016_R1_S57
15	Cen22_20102017_R1_S58
16	Cen22_03102018_R1_S59
17	Cen22_06102019_R1_S60
18	Cen22_13102020_R1_S61
